Unnamed: 0  train_loss  train_recall  train_acc_grapheme  train_acc_vowel  train_acc_consonant  val_recall  val_acc_grapheme  val_acc_vowel  val_acc_consonant
0            0    1.505188      0.476433            0.404644         0.754619             0.801698    0.743615          0.747239       0.912694           0.917646
1            1    0.515448      0.767685            0.776719         0.915721             0.921272    0.811384          0.827480       0.936008           0.935037
2            2    0.376225      0.825291            0.837834         0.939543             0.939769    0.851313          0.862586       0.952254           0.948646
3            3    0.311444      0.852571            0.865452         0.950254             0.949413    0.862851          0.875599       0.953523           0.956633
4            4    0.272624      0.869646            0.882967         0.956389             0.955902    0.877221          0.890950       0.961435           0.961012
5            5    0.245733      0.880950            0.893137         0.960847             0.959275    0.881372          0.894731       0.962082           0.960265
6            6    0.223936      0.890622            0.903265         0.963866             0.961967    0.890289          0.904260       0.964446           0.962630
7            7    0.210154      0.896671            0.908588         0.966583             0.964345    0.897883          0.911923       0.969123           0.964495
8            8    0.195881      0.902503            0.913735         0.968219             0.967006    0.902158          0.913715       0.970642           0.966636
9            9    0.185157      0.907468            0.918703         0.970246             0.968157    0.901726          0.913889       0.971264           0.968849
10          10    0.177739      0.911018            0.921994         0.971414             0.969718    0.901185          0.913043       0.969969           0.967207
11          11    0.169441      0.914322            0.925394         0.972416             0.970725    0.908016          0.917845       0.972781           0.971686
12          12    0.162710      0.917492            0.927951         0.973350             0.972490    0.908988          0.917794       0.971164           0.972657
